station,lat,lon,value
0111,121.391832,31.116809,莘庄
0112,121.399814,31.126929,外环路
0113,121.409334,31.136734,莲花路
0114,121.42068,31.148312,锦江乐园
0115,121.43627,31.161142,上海南站
0116,121.44187,31.175383,漕宝路
0117,121.442801,31.188348,上海体育馆
0118,121.444749,31.199152,徐家汇
0119,121.453247,31.211777,衡山路
0120,121.457719,31.219937,常熟路
0121,121.466688,31.223492,陕西南路
0122,121.479798,31.228753,一大会址·黄陂南路
0123,121.48085,31.23868,人民广场
0124,121.474802,31.244699,新闸路
0125,121.465,31.247808,汉中路
0126,121.462366,31.253608,上海火车站
0127,121.465616,31.265275,中山北路
0128,121.461893,31.27806,延长路
0129,121.458503,31.285845,上海马戏城
0130,121.456458,31.29917,汶水路
0131,121.455097,31.312943,彭浦新村
0132,121.453464,31.325355,共康路
0133,121.447817,31.337798,通河新村
0134,121.444185,31.345991,呼兰路
0135,121.440458,31.361557,共富新村
0136,121.437357,31.376207,宝安公路
0137,121.434336,31.38774,友谊西路
0138,121.43103,31.398683,富锦路
0234,121.307524,31.195431,徐泾东
0235,121.32795,31.1991,虹桥火车站
0236,121.334373,31.19958,虹桥2号航站楼
0237,121.365797,31.223998,淞虹路
0238,121.380478,31.222334,北新泾
0239,121.393671,31.220485,威宁路
0240,121.410818,31.216959,娄山关路
0241,121.424336,31.224615,中山公园
0242,121.43882,31.226025,江苏路
0243,121.452711,31.229553,静安寺
0244,121.46678,31.23614,南京西路
0245,121.480166,31.239445,人民广场
0246,121.490265,31.243034,南京东路
0247,121.509075,31.243319,陆家嘴
0248,121.521058,31.239393,东昌路
0249,121.533264,31.235004,世纪大道
0250,121.550621,31.225524,上海科技馆
0251,121.557067,31.216069,世纪公园
0252,121.563803,31.209437,龙阳路
0253,121.594061,31.207879,张江高科
0254,121.608797,31.209985,金科路
0255,121.627183,31.216662,广兰路
0256,121.662625,31.219828,唐镇
0257,121.680961,31.219405,创新中路
0258,121.687295,31.203168,华夏东路
0259,121.704572,31.192896,川沙
0260,121.728838,31.198286,凌空路
0261,121.76216,31.205201,远东大道
0262,121.803326,31.175116,海天三路
0263,121.813395,31.155029,浦东国际机场
0311,121.437159,31.159648,上海南站
0312,121.44963,31.164304,石龙路
0313,121.450802,31.175724,龙漕路
0314,121.444739,31.182978,漕溪路
0315,121.433798,31.192584,宜山路
0316,121.428032,31.20317,虹桥路
0317,121.423584,31.215865,延安西路
0318,121.422883,31.224276,中山公园
0319,121.419507,31.237991,金沙江路
0320,121.424183,31.244839,曹杨路
0321,121.436805,31.253,镇坪路
0322,121.447452,31.261022,中潭路
0323,121.464746,31.255935,上海火车站
0324,121.483032,31.257464,宝山路
0325,121.486639,31.265746,东宝兴路
0326,121.485807,31.276632,虹口足球场
0327,121.48899,31.287038,赤峰路
0328,121.489614,31.295096,大柏树
0329,121.491552,31.311026,江湾镇
0330,121.491579,31.325399,殷高西路
0331,121.498185,31.337669,长江南路
0332,121.50714,31.350804,淞发路
0333,121.505406,31.363662,张华浜
0334,121.49951,31.376604,淞滨路
0335,121.494571,31.387466,水产路
0336,121.486126,31.401287,宝杨路
0337,121.48254,31.40993,友谊路
0338,121.46856,31.414137,铁力路
0339,121.446217,31.414218,江杨北路
0401,121.443402,31.188814,上海体育馆
